,run,qps,tave_int,path_data,vert_mix_type,k_tracer_gm_kappa_parameter,k_tracer_isoneutral_parameter,leadclose_1,irad_aero,gkdrag,gkwake,gklift,entrpen,csecfrl,crs,crt,albsm,albi,albim,albs,c_n,total_salt,total_saltinseaice,total_saltinliquidwater,amoc26n,kin_energy_global,pot_energy_global,total_energy_global,ssh_global,sst_global,sss_global,potential_enstrophy_global,HeatFlux_Total_global,FrshFlux_Precipitation_global,FrshFlux_SnowFall_global,FrshFlux_Evaporation_global,FrshFlux_Runoff_global,FrshFlux_VolumeIce_global,FrshFlux_TotalOcean_global,FrshFlux_TotalIce_global,FrshFlux_VolumeTotal_global,totalsnowfall_global,ice_volume_nh,ice_volume_sh,ice_extent_nh,ice_extent_sh,global_heat_content,global_heat_content_solid,tas_gmean,rsdt_gmean,rsut_gmean,rlut_gmean,radtop_gmean,prec_gmean,evap_gmean,fwfoce_gmean
38,dap2000-r2,[qps](https://modvis.dkrz.de/mh0469/m300466/pyicon/all_qps/index.html),1550 - 1580,/work/mh0033/m300466/icon-ruby/icon-ruby2b/experiments/dap2000-r2/,2,0,0,0.5,0,0.02,0.05,nan,0.0003,5e-06,0.92,0.76,0.7,0.75,0.7,0.85,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.04,340.2,101.6,239.4,-0.7873,3.278e-05,-3.278e-05,-2.189e-06
43,dap2001-r2,[qps](https://modvis.dkrz.de/mh0469/m300466/pyicon/all_qps/index.html),1620 - 1650,/work/mh0033/m300466/icon-ruby/icon-ruby2b/experiments/dap2001-r2/,2,0,0,0.5,0,0.02,0.05,0.7,0.0003,5e-06,0.92,0.76,0.7,0.75,0.7,0.85,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.91,340.2,101.4,239.2,-0.3965,3.253e-05,-3.253e-05,-2.087e-06
49,dap2002-r2,[qps](https://modvis.dkrz.de/mh0469/m300466/pyicon/all_qps/index.html),1004 - 1004,/work/mh0033/m300466/icon-ruby/icon-ruby2b/experiments/dap2002-r2/,2,0,0,0.5,0,0.02,0.05,0.7,0.0003,5e-06,0.92,0.76,0.7,0.75,0.7,0.85,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
57,dap2003-r2,[qps](https://modvis.dkrz.de/mh0469/m300466/pyicon/all_qps/index.html),1550 - 1580,/work/mh0033/m300466/icon-ruby/icon-ruby2b/experiments/dap2003-r2/,2,0,0,0.5,0,0.02,0.05,0.7,0.0003,5e-06,0.92,0.76,0.7,0.75,0.7,0.85,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.04,340.2,103.8,237.3,-0.9411,3.208e-05,-3.208e-05,-2.054e-06
47,dap2004-r2,[qps](https://modvis.dkrz.de/mh0469/m300466/pyicon/all_qps/index.html),2060 - 2090,/work/mh0033/m300466/icon-ruby/icon-ruby2b/experiments/dap2004-r2/,2,0,0,0.5,0,0.02,0.05,0.7,0.0003,5e-06,0.92,0.76,0.7,0.75,0.7,0.85,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.61,340.2,101.8,238.6,-0.2068,3.228e-05,-3.228e-05,-2.13e-06
42,dap7020-r0,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-dap7020-r0/qp_index.html),1620 - 1650,/work/mh0033/m300466/icon-ruby/icon-ruby2b/experiments/dap7020-r0/,2,0,0,0.25,0,0.01,0.01,0,0.0003,5e-06,0.978,0.8,0.72,0.6,0.57,0.8,nan,4.596e+19,5.851e+13,4.596e+19,17.45,0.0009143,3.396e-06,0.0009177,0.02016,17.64,34.4,0,-0.4633,3.65e-08,1.811e-09,-3.969e-08,3.208e-09,9.422e-11,-3.648e-09,3.673e-10,-3.452e-10,6.396e-07,1.037e+04,2710,9.729e+06,4.018e+06,nan,nan,13.91,340.2,101.4,239.2,-0.3965,3.253e-05,-3.253e-05,-2.087e-06
56,dap7021-r0,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-dap7021-r0/qp_index.html),1550 - 1580,/work/mh0033/m300466/icon-ruby/icon-ruby2b/experiments/dap7021-r0/,2,0,0,0.25,0,0.05,0.05,0.7,0.0003,5e-06,0.978,0.8,0.72,0.6,0.57,0.8,10,4.596e+19,7.689e+13,4.596e+19,11.25,0.0008276,-3.732e-06,0.0008239,0.01961,17.99,34.5,0,-1.161,3.61e-08,1.129e-09,-3.926e-08,3.161e-09,9.021e-11,-3.449e-09,2.132e-10,-1.972e-10,3.55e-07,1.565e+04,1538,1.084e+07,2.428e+06,nan,nan,14.04,340.2,103.8,237.3,-0.9411,3.208e-05,-3.208e-05,-2.054e-06
58,dap7022-r0,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-dap7022-r0/qp_index.html),1550 - 1580,/work/mh0033/m300466/icon-ruby/icon-ruby2b/experiments/dap7022-r0/,2,0,0,0.25,0,0.05,0.05,0.7,0.0003,5e-06,0.978,0.8,0.72,0.6,0.57,0.8,2,4.596e+19,5.899e+13,4.596e+19,19.85,0.0009177,1.374e-06,0.000919,0.01416,17.83,34.43,0,-0.7321,3.629e-08,1.714e-09,-3.971e-08,3.41e-09,8.889e-11,-3.837e-09,3.389e-10,-3.375e-10,5.938e-07,1.034e+04,2846,9.566e+06,4.117e+06,nan,nan,13.9,340.2,101.6,239.1,-0.5285,3.257e-05,-3.257e-05,-2.25e-06
46,dap7023-r0,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-dap7023-r0/qp_index.html),2060 - 2090,/work/mh0033/m300466/icon-ruby/icon-ruby2b/experiments/dap7023-r0/,2,0,0,0.25,0,0.01,0.01,0.7,0.0003,5e-06,0.978,0.8,0.72,0.6,0.57,0.8,2,4.596e+19,6.241e+13,4.596e+19,17.15,0.0009488,1.751e-05,0.0009663,-0.00202,17.48,34.22,0,-0.05291,3.609e-08,1.978e-09,-3.936e-08,3.272e-09,9.716e-11,-3.791e-09,4.515e-10,-4.215e-10,7.737e-07,9218,4735,9.001e+06,6.296e+06,nan,nan,13.61,340.2,101.8,238.6,-0.2068,3.228e-05,-3.228e-05,-2.13e-06
54,dap7024-r0,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-dap7024-r0/qp_index.html),1550 - 1580,/work/mh0033/m300466/icon-ruby/icon-ruby2b/experiments/dap7024-r0/,2,0,0,0.25,0,0.01,0.01,0.7,0.0003,5e-06,0.978,0.8,0.72,0.6,0.57,0.8,1,4.596e+19,5.027e+13,4.596e+19,22.7,0.000972,8.984e-06,0.0009809,0.01812,18.12,34.41,0,-0.5385,3.687e-08,1.881e-09,-4.028e-08,3.41e-09,8.589e-11,-3.884e-09,3.98e-10,-3.876e-10,6.94e-07,7351,3886,7.707e+06,5.146e+06,nan,nan,14.43,340.2,99.69,240.8,-0.2421,3.306e-05,-3.305e-05,-2.229e-06
41,dap7025-r0,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-dap7025-r0/qp_index.html),1550 - 1580,/work/mh0033/m300466/icon-ruby/icon-ruby2b/experiments/dap7025-r0/,2,0,0,0.25,0,0.01,0.01,0,0.0003,5e-06,0.978,0.8,0.72,0.6,0.57,0.8,2,4.596e+19,5.432e+13,4.596e+19,18.59,0.0008966,2.061e-07,0.0008969,0.02067,17.84,34.44,0,-0.6603,3.661e-08,1.77e-09,-3.98e-08,3.203e-09,8.899e-11,-3.626e-09,3.516e-10,-3.335e-10,6.121e-07,9649,2495,9.403e+06,3.697e+06,nan,nan,14.13,340.2,101.1,239.6,-0.4554,3.262e-05,-3.262e-05,-2.084e-06
51,dap7026-r0,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-dap7026-r0/qp_index.html),1550 - 1580,/work/mh0033/m300466/icon-ruby/icon-ruby2b/experiments/dap7026-r0/,2,0,0,0.25,0,0.01,0.01,0.7,0.0003,5e-06,0.968,0.8,0.7,0.75,0.7,0.85,2,4.596e+19,6.942e+13,4.596e+19,22.2,0.0009463,1.122e-05,0.0009575,0.01965,17.79,34.42,0,-1.002,3.651e-08,1.775e-09,-3.976e-08,3.25e-09,1.044e-10,-3.719e-09,3.837e-10,-3.644e-10,6.578e-07,1.178e+04,3734,9.742e+06,5.119e+06,nan,nan,13.92,340.2,101.8,239.1,-0.6812,3.258e-05,-3.258e-05,-2.122e-06
55,dap7027-r0,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-dap7027-r0/qp_index.html),1930 - 1960,/work/mh0033/m300466/icon-ruby/icon-ruby2b/experiments/dap7027-r0/,2,400,400,0.25,0,0.01,0.01,0.7,0.0003,5e-06,0.968,0.8,0.7,0.75,0.7,0.85,2,4.596e+19,7.601e+13,4.596e+19,19.67,0.0009068,3.831e-05,0.0009451,0.00183,17.81,34.28,0,-0.276,3.46e-08,2.015e-09,-3.8e-08,3.402e-09,9.589e-11,-3.93e-09,4.516e-10,-4.316e-10,7.802e-07,1.21e+04,4897,9.442e+06,6.207e+06,nan,nan,13.69,340.2,101.1,239.3,-0.1493,3.132e-05,-3.132e-05,-2.251e-06
44,dap7028-r0,[qps](https://modvis.dkrz.de/mh0469/m300466/pyicon/all_qps/index.html),1620 - 1650,/work/mh0033/m300466/icon-ruby/icon-ruby2b/experiments/dap7028-r0/,2,400,400,0.25,0,0.03,0.03,0.7,0.0003,5e-06,0.968,0.8,0.7,0.75,0.7,0.85,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.91,340.2,101.4,239.2,-0.3965,3.253e-05,-3.253e-05,-2.087e-06
48,dap7029-r0,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-dap7029-r0/qp_index.html),1840 - 1870,/work/mh0033/m300466/icon-ruby/icon-ruby2b/experiments/dap7029-r0/,2,400,400,0.5,0,0.03,0.03,0.7,0.0003,5e-06,0.958,0.8,0.75,0.8,0.75,0.85,2,4.596e+19,1.198e+14,4.596e+19,18.69,0.0008812,3.227e-05,0.0009135,0.007779,17.66,34.29,0,-0.3879,3.428e-08,1.992e-09,-3.776e-08,3.481e-09,1.015e-10,-4.005e-09,4.481e-10,-4.222e-10,7.698e-07,2.185e+04,4927,1.038e+07,5.778e+06,1.607e+25,-8.627e+21,13.41,340.2,101.6,238.7,-0.1292,3.114e-05,-3.114e-05,-2.313e-06
39,dap7030-r0,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-dap7030-r0/qp_index.html),1850 - 1880,/work/mh0033/m300466/icon-ruby/icon-ruby2b/experiments/dap7030-r0/,2,1000,1000,0.5,0,0.03,0.03,0.7,0.0003,5e-06,0.958,0.8,0.75,0.8,0.75,0.85,2,4.596e+19,1.772e+14,4.596e+19,18.21,0.0007806,3.552e-05,0.0008161,0.005602,17.63,34.22,0,-0.4557,3.423e-08,1.995e-09,-3.774e-08,3.509e-09,1.16e-10,-4.127e-09,5.222e-10,-5.02e-10,8.991e-07,3.359e+04,6024,1.159e+07,6.601e+06,1.566e+25,-1.27e+22,13.26,340.2,101.8,238.6,-0.219,3.114e-05,-3.114e-05,-2.342e-06
59,dap7031-r0,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-dap7031-r0/qp_index.html),1820 - 1850,/work/mh0033/m300466/icon-ruby/icon-ruby2b/experiments/dap7031-r0/,1,1000,1000,0.5,0,0.03,0.03,0.7,0.0003,5e-06,0.958,0.8,0.75,0.8,0.75,0.85,2,4.596e+19,1.425e+14,4.596e+19,16.41,0.0007508,3.17e-05,0.0007825,0.01149,18.16,34.3,0,-0.3933,3.483e-08,1.905e-09,-3.818e-08,3.358e-09,1.158e-10,-3.956e-09,5.047e-10,-4.816e-10,8.773e-07,2.705e+04,4819,1.145e+07,6.128e+06,1.624e+25,-1.024e+22,13.81,340.2,101,239.4,-0.1787,3.143e-05,-3.143e-05,-2.227e-06
40,dap7032-r0,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-dap7032-r0/qp_index.html),1750 - 1780,/work/mh0033/m300466/icon-ruby/icon-ruby2b/experiments/dap7032-r0/,2,400,400,0.5,13,0.03,0.03,0.7,0.0003,5e-06,0.978,0.8,0.72,0.6,0.57,0.8,2,4.596e+19,7.05e+13,4.596e+19,20.23,0.0008821,2.866e-05,0.0009108,0.003198,17.6,34.37,0,-0.4237,3.368e-08,1.998e-09,-3.736e-08,3.68e-09,7.491e-11,-4.138e-09,3.974e-10,-3.832e-10,6.861e-07,1.155e+04,4213,8.858e+06,5.202e+06,1.659e+25,-5.125e+21,13.47,340.2,101.8,238.7,-0.249,3.089e-05,-3.089e-05,-2.46e-06
45,dap7033-r0,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-dap7033-r0/qp_index.html),2070 - 2100,/work/mh0033/m300466/icon-ruby/icon-ruby2b/experiments/dap7033-r0/,2,400,400,0.5,12,0.03,0.03,0.7,0.00025,1e-05,0.978,0.85,nan,nan,nan,nan,2,4.596e+19,1.187e+14,4.596e+19,17.28,0.0008874,2.228e-05,0.0009097,-0.02494,17.58,34.28,0,-0.03725,3.374e-08,2.18e-09,-3.751e-08,3.759e-09,9.06e-11,-4.346e-09,5.037e-10,-4.96e-10,8.812e-07,2.129e+04,5245,1.034e+07,6.226e+06,1.517e+25,-8.568e+21,13.37,340.2,101,239.2,0.03907,3.107e-05,-3.107e-05,-2.523e-06
53,dap7034-r0,[qps](https://modvis.dkrz.de/mh0469/m300466/pyicon/all_qps/index.html),2450 - 2480,/work/mh0033/m300466/icon-ruby/icon-ruby2b/experiments/dap7034-r0/,2,400,400,0.5,12,0.03,0.03,0.7,0.00015,1e-05,0.978,0.85,nan,nan,nan,nan,2,4.596e+19,8.466e+13,4.596e+19,16.1,0.0008976,1.492e-05,0.0009125,-0.06895,18.11,34.32,0,0.0877,3.452e-08,2.139e-09,-3.846e-08,3.934e-09,8.436e-11,-4.509e-09,4.993e-10,-4.906e-10,8.763e-07,1.37e+04,5226,9.157e+06,6.139e+06,1.489e+25,-6.177e+21,14.1,340.2,98.86,241.3,0.08953,3.204e-05,-3.204e-05,-2.64e-06
52,dap7035-r0,[qps](https://modvis.dkrz.de/mh0469/m300466/pyicon/all_qps/index.html),2480 - 2510,/work/mh0033/m300466/icon-ruby/icon-ruby2b/experiments/dap7035-r0/,2,400,400,0.5,12,0.03,0.03,0.7,0.0002,1e-05,0.978,0.85,nan,nan,nan,nan,2,4.596e+19,1.093e+14,4.596e+19,15.83,0.0008834,1.257e-05,0.000896,-0.06535,17.77,34.29,0,0.07894,3.408e-08,2.196e-09,-3.79e-08,3.828e-09,9.224e-11,-4.426e-09,5.362e-10,-5.063e-10,9.189e-07,1.891e+04,5532,1.001e+07,6.478e+06,1.464e+25,-7.926e+21,13.64,340.2,100.1,240,0.09658,3.148e-05,-3.148e-05,-2.563e-06
50,dap7036-r0,[qps](https://modvis.dkrz.de/mh0469/m300466/pyicon/all_qps/index.html),2720 - 2750,/work/mh0033/m300466/icon-ruby/icon-ruby2b/experiments/dap7036-r0/,2,400,400,0.5,12,0.03,0.03,0.7,0.0002,8e-06,0.978,0.85,nan,nan,nan,nan,2,4.596e+19,9.096e+13,4.596e+19,16.42,0.0008994,1.012e-05,0.0009095,-0.0875,17.9,34.28,0,0.0863,3.419e-08,2.192e-09,-3.804e-08,3.859e-09,7.954e-11,-4.437e-09,5.309e-10,-4.988e-10,9.082e-07,1.478e+04,5552,9.113e+06,6.472e+06,1.455e+25,-6.628e+21,13.84,340.2,99.64,240.4,0.1555,3.162e-05,-3.162e-05,-2.582e-06
27,slo1283,[qps](https://modvis.dkrz.de/mh0469/m300466/pyicon/all_qps/index.html),1550 - 1580,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1283/,2,0,0,0.25,0,0.05,0.05,nan,0.0003,5e-06,0.978,0.82,0.72,0.6,0.57,0.8,nan,4.593e+19,6.107e+13,4.593e+19,16.47,0.0009143,9.734e-07,0.0009153,0.02268,17.74,34.3,0,-0.3422,3.653e-08,1.791e-09,-3.989e-08,3.364e-09,9.207e-11,-3.82e-09,3.84e-10,-3.634e-10,6.67e-07,1.056e+04,3095,9.585e+06,4.516e+06,nan,nan,13.97,340.2,100.8,239.7,-0.2989,3.27e-05,-3.27e-05,-2.208e-06
9,slo1284,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1284/qp_index.html),1600 - 1630,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1284/,2,0,0,0.25,0,0.05,0.05,nan,0.0003,5e-06,0.978,0.8,0.72,0.6,0.57,0.8,nan,4.593e+19,6.507e+13,4.593e+19,15.75,0.0009006,-8.73e-07,0.0008997,0.02453,17.5,34.29,0,-0.3318,3.611e-08,1.823e-09,-3.95e-08,3.378e-09,9.675e-11,-3.858e-09,3.919e-10,-3.829e-10,6.828e-07,1.127e+04,3273,1.001e+07,4.739e+06,nan,nan,13.66,340.2,101.7,238.9,-0.3582,3.238e-05,-3.238e-05,-2.227e-06
30,slo1285,[qps](https://modvis.dkrz.de/mh0469/m300466/pyicon/all_qps/index.html),1505 - 1508,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1285/,2,0,0,0.25,0,0.05,0.05,nan,0.0003,5e-06,0.978,0.8,0.72,0.6,0.57,0.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,slo1286,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1286/qp_index.html),1740 - 1770,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1286/,3,0,0,0.25,0,0.05,0.05,nan,0.0003,5e-06,0.978,0.8,0.72,0.6,0.57,0.8,nan,4.596e+19,8.633e+13,4.596e+19,16.32,0.0008216,-6.392e-06,0.0008152,-0.003098,16.18,34.55,0,5.393,3.349e-08,2.026e-09,-3.721e-08,3.717e-09,1.002e-10,-4.211e-09,3.928e-10,-3.94e-10,7.057e-07,1.595e+04,3353,1.163e+07,4.406e+06,nan,nan,12.11,340.2,101.2,235.5,3.579,3.07e-05,-3.07e-05,-2.47e-06
24,slo1287,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1287/qp_index.html),1550 - 1580,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1287/,2,0,0,0.25,0,0.05,0.05,nan,0.0003,5e-06,0.978,0.8,0.72,0.6,0.57,0.8,nan,4.596e+19,6.782e+13,4.596e+19,15.89,0.0009217,-5.746e-06,0.000916,0.01595,18,34.46,0,-0.2779,3.485e-08,1.841e-09,-3.828e-08,3.429e-09,8.999e-11,-3.883e-09,3.758e-10,-3.636e-10,6.647e-07,1.266e+04,2501,1.027e+07,3.726e+06,nan,nan,13.95,340.2,100.4,240,-0.1407,3.147e-05,-3.147e-05,-2.273e-06
20,slo1288,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1288/qp_index.html),1830 - 1860,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1288/,3,0,0,0.25,0,0.05,0.05,nan,0.0003,5e-06,0.99,0.82,0.72,0.6,0.57,0.8,nan,4.596e+19,1.047e+14,4.596e+19,17.22,0.0008219,-4.361e-06,0.0008175,-0.009894,16.29,34.53,0,5.585,3.368e-08,2.11e-09,-3.74e-08,3.716e-09,1.095e-10,-4.279e-09,4.604e-10,-4.532e-10,8.083e-07,1.931e+04,4097,1.215e+07,5.344e+06,nan,nan,12.17,340.2,100.5,236.1,3.671,3.084e-05,-3.084e-05,-2.47e-06
7,slo1289,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1289/qp_index.html),1550 - 1580,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1289/,2,800,800,0.25,0,0.01,0.01,0.7,0.0003,5e-06,0.978,0.8,0.72,0.6,0.57,0.8,nan,4.596e+19,5.452e+13,4.596e+19,24.96,0.0007946,1.918e-06,0.0007965,0.0147,17.99,34.39,0,-1.148,3.665e-08,1.724e-09,-4.002e-08,3.366e-09,8.494e-11,-3.816e-09,3.845e-10,-3.651e-10,6.615e-07,8137,4052,8.361e+06,5.306e+06,nan,nan,14.18,340.2,101.3,239.7,-0.7696,3.286e-05,-3.286e-05,-2.203e-06
13,slo1290,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1290/qp_index.html),1750 - 1780,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1290/,2,800,800,0.25,0,0.01,0.01,0.7,0.0003,5e-06,0.978,0.8,nan,nan,nan,nan,nan,4.596e+19,9.536e+13,4.596e+19,20.47,0.000788,3.646e-05,0.0008244,0.006816,17.42,34.2,0,-0.6301,3.59e-08,2.004e-09,-3.935e-08,3.434e-09,1.213e-10,-4.09e-09,5.436e-10,-5.349e-10,9.451e-07,1.475e+04,6574,1.088e+07,7.794e+06,nan,nan,13.38,340.2,102.3,238.5,-0.6407,3.237e-05,-3.237e-05,-2.267e-06
