,run,qps,tave_int,path_data,vert_mix_type,k_tracer_gm_kappa_parameter,k_tracer_isoneutral_parameter,leadclose_1,irad_aero,gkdrag,gkwake,gklift,entrpen,csecfrl,crs,crt,albsm,albi,albim,albs,c_n,total_salt,total_saltinseaice,total_saltinliquidwater,amoc26n,kin_energy_global,pot_energy_global,total_energy_global,ssh_global,sst_global,sss_global,potential_enstrophy_global,HeatFlux_Total_global,FrshFlux_Precipitation_global,FrshFlux_SnowFall_global,FrshFlux_Evaporation_global,FrshFlux_Runoff_global,FrshFlux_VolumeIce_global,FrshFlux_TotalOcean_global,FrshFlux_TotalIce_global,FrshFlux_VolumeTotal_global,totalsnowfall_global,ice_volume_nh,ice_volume_sh,ice_extent_nh,ice_extent_sh,global_heat_content,global_heat_content_solid,tas_gmean,rsdt_gmean,rsut_gmean,rlut_gmean,radtop_gmean,prec_gmean,evap_gmean,fwfoce_gmean
37,slo1291,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1291/qp_index.html),1550 - 1580,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1291/,2,400,400,0.25,0,0.01,0.01,0.7,0.0003,5e-06,0.978,0.8,nan,nan,nan,nan,nan,4.596e+19,6.623e+13,4.596e+19,24.39,0.0008626,2.136e-06,0.0008647,0.01547,17.9,34.4,0,-1.185,3.657e-08,1.768e-09,-3.991e-08,3.337e-09,9.837e-11,-3.81e-09,3.883e-10,-3.746e-10,6.643e-07,1.072e+04,4085,9.249e+06,5.43e+06,nan,nan,14.04,340.2,101.6,239.4,-0.7873,3.278e-05,-3.278e-05,-2.189e-06
32,slo1292,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1292/qp_index.html),1550 - 1580,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1292/,2,400,400,0.25,0,0.03,0.03,0.7,0.0003,5e-06,0.978,0.8,nan,nan,nan,nan,nan,4.596e+19,7.568e+13,4.596e+19,23.86,0.0008483,-2.572e-06,0.0008458,0.0143,17.81,34.39,0,-1.133,3.638e-08,1.773e-09,-3.977e-08,3.396e-09,1.028e-10,-3.877e-09,4.012e-10,-3.784e-10,6.843e-07,1.285e+04,4071,1e+07,5.45e+06,nan,nan,13.87,340.2,101.8,239.2,-0.7724,3.263e-05,-3.263e-05,-2.232e-06
5,slo1293,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1293/qp_index.html),1900 - 1930,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1293/,2,400,400,0.25,0,0.03,0.03,0.7,0.0003,5e-06,0.978,0.8,nan,nan,nan,nan,nan,4.596e+19,8.455e+13,4.596e+19,18.86,0.0008962,3.042e-05,0.0009266,0.004246,17.77,34.28,0,-0.3017,3.446e-08,1.977e-09,-3.792e-08,3.461e-09,1.023e-10,-4.01e-09,4.534e-10,-4.465e-10,7.916e-07,1.405e+04,4856,1.012e+07,6.221e+06,1.612e+25,-6.138e+21,13.56,340.2,101.3,239.1,-0.1903,3.127e-05,-3.127e-05,-2.305e-06
12,slo1294,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1294/qp_index.html),1850 - 1880,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1294/,2,100,100,0.25,0,0.01,0.01,0.7,0.0003,5e-06,0.978,0.8,0.72,0.6,0.57,0.8,nan,4.596e+19,5.745e+13,4.596e+19,19.03,0.0009304,1.589e-05,0.0009463,0.007373,17.55,34.26,0,-0.2773,3.615e-08,1.908e-09,-3.949e-08,3.344e-09,8.896e-11,-3.823e-09,4.052e-10,-3.892e-10,7e-07,8631,4213,8.619e+06,5.719e+06,nan,nan,13.71,340.2,101.7,238.8,-0.2926,3.245e-05,-3.245e-05,-2.19e-06
35,slo1295,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1295/qp_index.html),1850 - 1880,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1295/,2,400,0,0.25,0,0.01,0.01,0.7,0.0003,5e-06,0.978,0.8,0.72,0.6,0.57,0.8,nan,4.596e+19,6.187e+13,4.596e+19,19.18,0.0008678,1.537e-05,0.0008832,0.005604,17.51,34.16,0,-0.2813,3.599e-08,1.926e-09,-3.941e-08,3.426e-09,9.382e-11,-3.919e-09,4.149e-10,-3.992e-10,7.155e-07,9403,4428,9.012e+06,5.863e+06,nan,nan,13.61,340.2,101.9,238.7,-0.3074,3.24e-05,-3.24e-05,-2.251e-06
14,slo1296,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1296/qp_index.html),1570 - 1600,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1296/,2,400,400,nan,0,0.03,0.03,0.7,0.0003,5e-06,0.978,0.8,nan,nan,nan,nan,nan,4.596e+19,7.912e+13,4.596e+19,21.23,0.0008865,-5.388e-06,0.0008811,0.01515,18.03,34.42,0,-0.6305,3.469e-08,1.857e-09,-3.823e-08,3.536e-09,8.348e-11,-3.984e-09,3.771e-10,-3.651e-10,6.551e-07,1.364e+04,4050,9.074e+06,4.897e+06,1.834e+25,-5.728e+21,13.89,340.2,100.8,239.6,-0.235,3.154e-05,-3.154e-05,-2.352e-06
6,slo1297,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1297/qp_index.html),1570 - 1600,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1297/,2,400,400,0.25,0,0.03,0.03,0.7,0.0003,5e-06,0.978,0.8,nan,nan,nan,nan,nan,4.596e+19,8.017e+13,4.596e+19,21.3,0.000895,-4.303e-06,0.0008907,0.01713,18.05,34.41,0,-0.5594,3.478e-08,1.861e-09,-3.825e-08,3.471e-09,9.67e-11,-3.949e-09,3.908e-10,-3.821e-10,6.843e-07,1.391e+04,4017,9.688e+06,4.99e+06,1.836e+25,-5.808e+21,13.96,340.2,100.9,239.7,-0.3735,3.153e-05,-3.153e-05,-2.306e-06
21,slo1298,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1298/qp_index.html),1580 - 1610,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1298/,2,300,0,0.6,0,0.03,0.03,0.7,0.0003,5e-06,0.978,0.8,nan,nan,nan,nan,nan,4.596e+19,9.458e+13,4.596e+19,20.85,0.0009127,3.35e-06,0.0009161,0.01609,18.04,34.36,0,-0.5233,3.473e-08,1.845e-09,-3.822e-08,3.501e-09,8.223e-11,-3.897e-09,3.376e-10,-3.137e-10,5.887e-07,1.751e+04,3637,9.139e+06,3.991e+06,1.828e+25,-6.804e+21,13.93,340.2,100.7,239.6,-0.171,3.151e-05,-3.151e-05,-2.316e-06
17,slo1299,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1299/qp_index.html),1550 - 1580,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1299/,2,400,400,0.25,0,0.03,0.03,0.7,0.0003,5e-06,0.978,0.8,nan,nan,nan,nan,nan,4.596e+19,7.625e+13,4.596e+19,22.85,0.0008876,-6.858e-06,0.0008808,0.01695,18.07,34.43,0,-0.6575,3.481e-08,1.866e-09,-3.829e-08,3.48e-09,9.594e-11,-3.977e-09,4.059e-10,-4.009e-10,7.149e-07,1.289e+04,4159,9.664e+06,5.487e+06,1.858e+25,-5.534e+21,13.96,340.2,100.8,239.8,-0.3565,3.154e-05,-3.154e-05,-2.313e-06
16,slo1300,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1300/qp_index.html),1620 - 1650,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1300/,2,400,400,0.6,0,0.03,0.03,0.7,0.0003,5e-06,0.978,0.8,nan,nan,nan,nan,nan,4.596e+19,7.394e+13,4.596e+19,21.55,0.0008905,5.158e-06,0.0008957,0.01659,18.02,34.41,0,-0.6298,3.476e-08,1.858e-09,-3.822e-08,3.444e-09,7.658e-11,-3.873e-09,3.556e-10,-3.524e-10,6.199e-07,1.245e+04,4078,8.494e+06,4.755e+06,1.788e+25,-5.359e+21,13.92,340.2,100.7,239.7,-0.1991,3.15e-05,-3.15e-05,-2.292e-06
25,slo1301,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1301/qp_index.html),1580 - 1610,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1301/,2,400,400,0.6,0,0.03,0.03,0.7,0.0003,5e-06,0.978,0.8,nan,nan,nan,nan,nan,4.596e+19,8.083e+13,4.596e+19,22.07,0.0009014,1.973e-07,0.0009016,0.01718,18.07,34.41,0,-0.6522,3.479e-08,1.85e-09,-3.826e-08,3.471e-09,7.778e-11,-3.893e-09,3.648e-10,-3.44e-10,6.177e-07,1.416e+04,3909,8.778e+06,4.425e+06,1.823e+25,-5.842e+21,13.96,340.2,100.7,239.7,-0.2093,3.153e-05,-3.153e-05,-2.305e-06
2,slo1302,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1302/qp_index.html),1620 - 1650,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1302/,2,400,400,0.5,0,0.03,0.03,0.7,0.0003,5e-06,0.948,0.8,nan,nan,nan,nan,nan,4.596e+19,7.939e+13,4.596e+19,21.07,0.0008923,6.281e-06,0.0008986,0.0166,17.74,34.4,0,-0.6972,3.439e-08,1.892e-09,-3.788e-08,3.496e-09,8.513e-11,-3.946e-09,3.828e-10,-3.65e-10,6.638e-07,1.348e+04,4270,9.062e+06,5.22e+06,1.774e+25,-5.749e+21,13.56,340.2,101.8,238.7,-0.3171,3.127e-05,-3.127e-05,-2.325e-06
0,slo1303,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1303/qp_index.html),1600 - 1630,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1303/,2,400,400,0.5,0,0.03,0.03,0.7,0.0003,5e-06,0.948,0.8,0.75,0.8,0.75,nan,nan,4.596e+19,1.007e+14,4.596e+19,21.51,0.0009011,5.727e-06,0.0009068,0.01918,18,34.39,0,-0.7477,3.478e-08,1.868e-09,-3.819e-08,3.404e-09,9.062e-11,-3.847e-09,3.718e-10,-3.524e-10,6.407e-07,1.865e+04,3856,9.715e+06,4.698e+06,1.799e+25,-7.248e+21,13.84,340.2,101,239.6,-0.2968,3.145e-05,-3.145e-05,-2.254e-06
29,slo1304,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1304/qp_index.html),2350 - 2380,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1304/,2,400,400,0.5,0,0.03,0.03,0.7,0.0003,5e-06,0.948,0.8,0.75,0.8,0.75,nan,nan,4.596e+19,1.576e+14,4.596e+19,16.63,0.0008837,2.416e-05,0.0009078,-0.02754,17.55,34.18,0,-0.02831,3.418e-08,2.1e-09,-3.765e-08,3.47e-09,1.142e-10,-4.092e-09,5.255e-10,-5.073e-10,9.092e-07,2.902e+04,6207,1.114e+07,7.092e+06,1.408e+25,-1.132e+22,13.23,340.2,101.6,238.6,0.005345,3.105e-05,-3.105e-05,-2.31e-06
15,slo1305,[qps](https://modvis.dkrz.de/mh0469/m300466/pyicon/all_qps/index.html),1570 - 1600,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1305/,2,400,400,0.5,18,0.03,0.03,0.7,0.0003,5e-06,0.948,0.8,0.75,0.8,0.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.89,340.2,100.8,239.6,-0.235,3.154e-05,-3.154e-05,-2.352e-06
28,slo1307,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1307/qp_index.html),2150 - 2180,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1307/,2,400,400,0.5,12,0.03,0.03,0.7,0.0003,5e-06,0.978,0.8,nan,nan,nan,nan,nan,4.596e+19,1.53e+14,4.596e+19,17.22,0.0008751,2.792e-05,0.000903,-0.02813,17.24,34.25,0,-0.1391,3.328e-08,2.163e-09,-3.696e-08,3.67e-09,1.059e-10,-4.277e-09,5.184e-10,-5.011e-10,8.884e-07,2.838e+04,5830,1.129e+07,6.742e+06,1.402e+25,-1.099e+22,12.91,340.2,102.4,237.9,-0.1068,3.055e-05,-3.055e-05,-2.464e-06
34,slo1308,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1308/qp_index.html),1740 - 1770,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1308/,2,400,400,0.5,13,0.03,0.03,0.7,0.0003,5e-06,0.988,0.8,nan,nan,nan,nan,nan,4.596e+19,1.158e+14,4.596e+19,20.49,0.0008866,3.465e-05,0.0009212,0.0005787,17.55,34.31,0,-0.5851,3.356e-08,2.055e-09,-3.726e-08,3.7e-09,9.416e-11,-4.227e-09,4.545e-10,-4.323e-10,7.761e-07,2.097e+04,4907,1.034e+07,5.82e+06,1.653e+25,-8.339e+21,13.29,340.2,101.9,238.6,-0.3351,3.082e-05,-3.082e-05,-2.477e-06
22,slo1309,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1309/qp_index.html),1740 - 1770,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1309/,2,400,400,0.5,12,0.03,0.03,0.7,0.0003,5e-06,0.995,0.8,nan,nan,nan,nan,nan,4.596e+19,1.607e+14,4.596e+19,20.39,0.000885,3.457e-05,0.0009196,-0.002473,17.5,34.31,0,-0.5944,3.352e-08,2.106e-09,-3.723e-08,3.719e-09,1.001e-10,-4.266e-09,4.795e-10,-4.464e-10,8.149e-07,3.084e+04,5087,1.113e+07,5.946e+06,1.648e+25,-1.15e+22,13.15,340.2,102.1,238.5,-0.3767,3.078e-05,-3.078e-05,-2.486e-06
8,slo1311,[qps](https://modvis.dkrz.de/mh0469/m300466/pyicon/all_qps/index.html),1550 - 1580,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1311/,2,400,400,0.5,12,0.03,0.03,0.7,0.0003,5e-06,0.978,0.8,0.65,0.6,0.5,0.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.18,340.2,101.3,239.7,-0.7696,3.286e-05,-3.286e-05,-2.203e-06
33,slo1312,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1312/qp_index.html),2010 - 2040,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1312/,2,400,400,0.5,12,0.03,0.03,0.7,0.0003,2.5e-06,0.978,0.8,nan,nan,nan,nan,nan,4.596e+19,6.807e+13,4.596e+19,17.34,0.0009025,8.393e-06,0.0009109,-0.01141,18.07,34.29,0,0.409,3.411e-08,2.038e-09,-3.792e-08,3.798e-09,5.426e-11,-4.296e-09,4.449e-10,-4.437e-10,7.897e-07,1.053e+04,4687,7.948e+06,5.535e+06,1.558e+25,-4.981e+21,14.1,340.2,98.83,240.6,0.7517,3.136e-05,-3.136e-05,-2.542e-06
19,slo1313,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1313/qp_index.html),2000 - 2030,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1313/,2,400,400,0.5,12,0.03,0.03,0.7,0.0003,5e-06,0.978,0.8,0.72,0.7,0.65,nan,nan,4.596e+19,1.065e+14,4.596e+19,19.2,0.0008738,3.16e-05,0.0009054,-0.01373,17.35,34.28,0,-0.2917,3.341e-08,2.109e-09,-3.707e-08,3.66e-09,9.494e-11,-4.203e-09,4.768e-10,-4.482e-10,8.098e-07,1.838e+04,5434,1.027e+07,6.377e+06,1.475e+25,-7.701e+21,13.09,340.2,102.3,238.1,-0.1858,3.066e-05,-3.066e-05,-2.449e-06
1,slo1314,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1314/qp_index.html),2190 - 2220,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1314/,2,400,400,0.5,12,0.03,0.03,0.7,0.0003,4e-06,0.978,0.8,nan,nan,nan,nan,nan,4.596e+19,7.382e+13,4.596e+19,16.51,0.0009038,1.04e-05,0.0009142,-0.02209,17.9,34.27,0,0.2328,3.399e-08,2.131e-09,-3.777e-08,3.789e-09,5.859e-11,-4.322e-09,4.902e-10,-4.743e-10,8.628e-07,1.123e+04,5269,8.291e+06,6.151e+06,1.548e+25,-5.406e+21,13.87,340.2,99.56,240.2,0.4871,3.124e-05,-3.124e-05,-2.531e-06
11,slo1315,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1315/qp_index.html),1890 - 1920,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1315/,2,400,400,0.5,12,0.03,0.03,0.7,0.0003,4.5e-06,0.978,0.8,nan,nan,nan,nan,nan,4.596e+19,6.975e+13,4.596e+19,17.54,0.0009048,1.649e-05,0.0009213,-0.001381,17.94,34.31,0,0.005212,3.405e-08,2.104e-09,-3.781e-08,3.75e-09,5.658e-11,-4.26e-09,4.633e-10,-4.532e-10,8.094e-07,1.09e+04,4695,8.26e+06,5.549e+06,1.684e+25,-5.106e+21,13.93,340.2,99.71,240.2,0.3278,3.125e-05,-3.125e-05,-2.507e-06
26,slo1316,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1316/qp_index.html),1910 - 1940,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1316/,2,400,400,0.5,12,0.03,0.03,0.7,0.0003,nan,0.978,0.85,nan,nan,nan,nan,nan,4.596e+19,1.011e+14,4.596e+19,19.78,0.000902,3.117e-05,0.0009331,-0.00902,17.93,34.26,0,-0.2112,3.428e-08,2.041e-09,-3.796e-08,3.689e-09,9.198e-11,-4.205e-09,4.489e-10,-4.248e-10,7.744e-07,1.778e+04,4831,9.762e+06,5.782e+06,1.585e+25,-7.307e+21,13.82,340.2,100.2,240.1,-0.02318,3.135e-05,-3.135e-05,-2.457e-06
31,slo1317,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1317/qp_index.html),3550 - 3580,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1317/,2,400,400,0.5,12,0.03,0.03,0.7,0.00015,1e-05,0.978,0.85,nan,nan,nan,nan,nan,4.596e+19,1.041e+14,4.596e+19,15.23,0.0008804,7.911e-06,0.0008883,-0.1673,17.87,34.28,0,0.1497,3.423e-08,2.16e-09,-3.812e-08,3.898e-09,1.032e-10,-4.527e-09,5.507e-10,-5.256e-10,9.552e-07,1.673e+04,6543,9.906e+06,7.468e+06,1.272e+25,-7.565e+21,13.77,340.2,99.74,240.5,-0.005895,3.177e-05,-3.177e-05,-2.611e-06
18,slo1318,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1318/qp_index.html),1750 - 1780,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1318/,2,400,400,0.5,12,0.03,0.03,0.7,0.00015,5e-06,0.978,0.85,nan,nan,nan,nan,nan,4.596e+19,9.175e+13,4.596e+19,18.61,0.0008643,2.448e-05,0.0008887,-0.001654,18.06,34.33,0,-0.2417,3.405e-08,1.996e-09,-3.778e-08,3.743e-09,8.897e-11,-4.231e-09,4.242e-10,-3.988e-10,7.323e-07,1.625e+04,4257,9.656e+06,5.112e+06,1.676e+25,-6.638e+21,13.97,340.2,100.7,239.6,-0.06853,3.128e-05,-3.128e-05,-2.497e-06
23,slo1319,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1319/qp_index.html),1740 - 1770,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1319/,2,400,400,0.5,12,0.03,0.03,0.7,0.00015,4e-06,0.978,0.77,nan,nan,nan,nan,nan,4.596e+19,7.762e+13,4.596e+19,17.13,0.0008951,1.805e-05,0.0009131,0.004634,17.71,34.34,0,-0.007792,3.359e-08,2.081e-09,-3.737e-08,3.788e-09,5.922e-11,-4.274e-09,4.504e-10,-4.264e-10,7.885e-07,1.306e+04,4292,8.879e+06,5.129e+06,1.7e+25,-5.657e+21,13.59,340.2,100.6,239.3,0.377,3.093e-05,-3.093e-05,-2.531e-06
10,slo1325,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1325/qp_index.html),4850 - 4880,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1325/,2,400,400,0.5,12,0.03,0.03,0.7,0.00015,1e-05,0.978,0.85,nan,nan,nan,nan,nan,4.596e+19,1.1e+14,4.596e+19,15.41,0.0008851,1.111e-05,0.0008962,-0.1426,17.84,34.28,0,0.1303,3.42e-08,2.183e-09,-3.813e-08,3.927e-09,1.018e-10,-4.556e-09,5.488e-10,-5.273e-10,9.549e-07,1.764e+04,6953,9.652e+06,7.57e+06,1.201e+25,-7.988e+21,13.75,340.2,99.75,240.5,-0.01198,3.179e-05,-3.179e-05,-2.634e-06
4,slo1326,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1326/qp_index.html),3950 - 3980,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1326/,2,400,400,0.5,12,0.05,0.05,0.7,0.00015,1e-05,0.978,0.85,nan,nan,nan,nan,nan,4.597e+19,1.445e+14,4.597e+19,14.59,0.0008658,1.807e-06,0.0008676,0.02964,17.8,34.28,0,0.1652,3.404e-08,2.169e-09,-3.802e-08,3.968e-09,1.103e-10,-4.622e-09,5.537e-10,-5.437e-10,9.691e-07,2.564e+04,6651,1.055e+07,7.374e+06,1.266e+25,-1.04e+22,13.6,340.2,99.97,240.2,0.00225,3.17e-05,-3.171e-05,-2.673e-06
36,slo1327,[qps](https://modvis.dkrz.de/mh0469/m211032/pyicon/qp-slo1327/qp_index.html),4450 - 4480,/work/mh0287/m211032/Icon/Git_Icon/icon.oes.20200506/experiments/slo1327/,2,400,400,0.5,12,0.03,0.03,0.7,0.00015,1e-05,0.978,0.85,nan,nan,nan,nan,nan,4.596e+19,1.101e+14,4.596e+19,15.03,0.0008827,3.97e-06,0.0008866,0.04882,17.8,34.28,0,0.1917,3.419e-08,2.199e-09,-3.806e-08,3.88e-09,1.036e-10,-4.522e-09,5.655e-10,-5.385e-10,9.862e-07,1.729e+04,7320,9.722e+06,7.886e+06,1.215e+25,-8e+21,13.7,340.2,99.86,240.4,-0.01064,3.172e-05,-3.172e-05,-2.595e-06
